Collections,Sales,Buyers,Txns,Owners
Cryptovoxels,"$41,844,916","3,223","11,970","2,427"
OxyaOriginProject,"$41,818,521","6,351","14,301","2,729"
Alien Worlds,"$41,391,160","489,108","5,710,821","3,843,236"
MOAR by Joan Cornella,"$40,961,208","5,478","9,603","2,951"
Inbetweeners,"$40,758,957","7,392","14,539","5,549"
Pixel Vault Founders DAO,"$40,555,022","2,563","3,733","3,089"
n,"$40,292,702","5,118","12,968","2,985"
10KTF,"$40,160,647","11,979","44,683","5,715"
Degen Toonz,"$39,945,649","9,901","24,705","4,017"
Peaceful Groupies,"$39,583,498","9,138","21,352","3,867"
CryptoDickbutts S3,"$39,139,846","4,117","17,655","1,707"
Jungle Freaks,"$38,629,477","7,680","13,364","5,593"
the littles NFT,"$38,371,991","9,738","19,799","5,304"
Smilesss,"$37,846,922","9,584","18,482","4,411"
Rug Radio - Genesis NFT,"$37,792,408","18,578","32,553","9,061"
The CryptoDads,"$37,788,168","8,418","16,928","6,710"
TheHeartProject,"$37,663,743","11,617","23,985","5,730"
MetaHero Universe DAO Tokens,"$37,231,793","8,302","24,144",
OnChainMonkey,"$36,788,840","6,329","18,588","3,001"
Blitmap,"$36,741,775",486,"1,073",645
SolPunks,"$36,434,296","8,325","18,623","4,782"
Farming Tales,"$36,410,831","10,304","185,038","10,113"
Decentral Ice Poker,"$35,935,111","2,838","9,347","2,683"
GEN.ART,"$35,838,377","4,696","8,626","2,447"
GENART,"$35,639,553","4,331","7,897","2,441"
Bored Bunny,"$35,426,791","8,187","12,678","3,679"
Metasaurs by Dr. DMT,"$34,596,881","7,801","16,640","4,837"
Sappy Seals,"$34,462,849","11,505","35,001","3,942"
Portals,"$34,332,685","5,051","9,909","2,881"
Bloot,"$34,229,478","6,551","15,454","3,848"
Akuma,"$33,842,679","5,709","14,306","1,840"
Tasty Bones,"$32,806,300","5,987","9,783","3,278"
Animetas,"$32,656,608","7,167","19,680","3,970"
Candy Digital NFT,"$32,604,054","68,515","596,995",
More Than Gamers,"$32,502,457","15,183","26,119","4,722"
Thug Birdz,"$32,057,660","4,023","7,803","2,156"
ALPACADABRAZ,"$31,555,372","7,844","15,962","4,436"
WonderPals,"$31,301,039","15,833","23,980","6,425"
Tom Sachs Rocket Factory,"$31,266,138",837,"2,869",138
MoodRollers,"$30,762,715","8,045","15,280","2,971"
EveraiDuo,"$30,754,089","9,933","21,668","2,868"
Edenhorde,"$30,624,730","4,708","14,067","2,425"
Moonbirds Oddities,"$30,369,012","4,316","8,299","6,093"
Nifty League DEGENs,"$30,178,482","8,736","24,952","3,203"
The Art of Seasons,"$30,079,025","10,437","24,029","3,244"
VOX Series 2,"$30,052,401","1,376","2,862","3,325"
Creepz Shapeshifters,"$29,993,384","2,961","12,240","2,943"
CryptoJanky,"$29,941,263","9,411","17,969","5,767"
Party Ape Billionaire Club,"$29,840,712","6,492","13,953","4,464"
SlimHoods,"$29,681,821","8,443","15,124","2,951"
Gutter Juice,"$29,621,029","9,758","33,033","8,500"
Winter Bears,"$29,430,776","10,445","22,901","4,617"
Janky Heist,"$29,304,038","9,322","17,348","5,763"
Dour Darcels,"$29,236,811","9,640","22,487","4,674"
Shinsekai,"$29,192,403","9,271","21,738","4,413"
Antonym,"$28,429,219","10,967","19,814","4,160"
EightBit,"$28,172,956","7,601","19,820","3,121"
Meerkat Millionaires Country Club,"$27,551,579","8,527","17,531","4,373"
Slotie,"$27,527,639","5,419","12,995","3,953"
BAPETAVERSE,"$27,044,028","4,429","10,263","4,454"
Galaxy Fight Club,"$26,812,081","5,182","18,437","2,969"
Rtfkt Nike x Monolith,"$26,747,693","2,556","3,895",
VaynerSports Pass,"$26,662,065","8,816","19,389","5,543"
X Rabbits Club,"$25,979,658","4,137","9,406","3,068"
LinksDAO,"$25,574,038","8,943","13,318","5,340"
Cets on Crek,"$25,357,983","7,813","14,842","4,005"
Reptile Armoury,"$25,307,434","3,789","15,061","2,552"
Metamon,"$24,755,212","7,997","86,223","10,578"
BugBears,"$24,648,255","9,681","26,439","6,842"
CatBloxGenesis,"$24,590,910","9,248","20,776","4,671"
Bold Badgers,"$24,563,342","6,585","19,494","4,032"
Waves Ducks,"$24,484,127","1,697","19,473","1,774"
Cool Monkes,"$24,467,814","7,621","18,367","3,536"
Purrnelopes Country Club,"$24,355,983","2,643","9,492","3,634"
The Other Side,"$24,306,848","13,074","20,069","4,932"
Chimpers,"$24,194,101","4,339","6,683","2,491"
The Currency Palm,"$23,998,301",566,"1,354","2,020"
MetaLegends,"$23,882,291","7,423","15,184","4,703"
The Wicked Craniums,"$23,867,554","8,354","23,322","4,762"
We Are All Going to Die,"$23,455,817","7,158","19,980","2,268"
The Doggies,"$23,401,849","16,311","22,860","7,431"
Milady,"$23,370,031","5,953","14,165","3,323"
hic et nunc,"$23,227,803","52,156","1,535,692","20,051"
10KTF Stockroom,"$23,109,002","4,629","19,417",
Frakt,"$23,097,574","4,927","13,755","1,479"
Catalina Whale Mixer,"$23,095,336","5,500","12,604","2,106"
Akutar Mint Pass,"$23,084,214","2,773","5,013","3,967"
Dippies,"$23,081,111","11,802","22,474","5,756"
Acrocalypse,"$23,047,945","8,118","19,211","3,457"
Cupcats Official,"$23,030,547","3,593","9,602","1,778"
Voxies,"$22,894,077","2,213","7,858","2,076"
Nouns,"$22,609,886",81,112,272
FoxFam,"$22,578,802","7,414","17,867","3,527"
The Vogu Collective,"$22,540,528","4,752","12,129","2,808"
Llamaverse Genesis,"$22,501,103","4,515","6,018","3,082"
Solsteads,"$22,444,036","3,019","5,479","1,420"
Habbo Avatars,"$22,414,956","6,271","14,904","4,393"
FOMO MOFOS,"$22,048,372","6,828","13,957","4,156"
Stoner Cats,"$21,992,786","5,931","10,790","5,103"
CryptoonGoonz,"$21,963,443","7,119","13,167","3,843"
Deafbeef,"$21,861,127",106,156,114
Illuminati,"$21,860,214","7,799","15,784","3,764"
Bastard Gan Punks V2,"$21,846,761","3,763","12,212","2,894"
Fishy Fam,"$21,744,180","10,138","19,337","5,354"
Potatoz,"$21,467,745","6,253","13,581","5,108"
Mindblowon,"$21,255,015","11,313","16,333","3,973"
Sipherian Surge,"$21,053,426","6,210","15,023","3,636"
Gutter Rats,"$20,915,001","2,931","5,209",
Wool Pouch,"$20,911,179","2,249","6,139","3,270"
Los Muertos,"$20,901,871","11,143","25,406","4,328"
